Rice;100g;130;2.7;No;Yes;Yes;Yes;Yes
Chickpeas;100g;364;7;No;Yes;Yes;Yes;No
Lentils;100g;116;7.4;No;Yes;Yes;Yes;No
Egg;Unit;78;13;Yes;No;Yes;No;No
Apple;Unit;52;0.3;No;Yes;No;No;Yes
Beer;⅓ liter;216;0.3;No;Yes;No;No;No
Tuna;100g;130;23.5;No;No;Yes;No;No
Cheese;100g;128;25.4;Yes;No;No;No;Yes
Chorizo;100g;455;24;No;No;Yes;No;No
Potatoes;100g;82;2;No;Yes;No;Yes;No
Tomato;100g;24;0.9;No;Yes;No;Yes;No
Olive Oil;1 tablespoon;119;0;No;Yes;No;No;No
Pasta;100g;131;6.6;No;No;Yes;Yes;No
Chicken breast;100g;101;32;No;No;Yes;No;No
Kidney beans;100g;127;8.7;No;Yes;Yes;Yes;No
Kale;100g;28;1.9;No;Yes;No;Yes;No
Sardines;100g;208;25;No;No;Yes;No;No
Orange;Unit;65;1;No;Yes;No;No;Yes
Green kiwi;Unit;42;0.8;No;Yes;No;No;Yes
Beef;100g;217;26.1;No;No;Yes;No;No
Cashews;100g;553;18;No;Yes;No;Yes;No
Sundried tomatoes;100g;213;5;No;Yes;No;Yes;No
Cod;85g;90;19;No;No;Yes;No;No
Skyr drink;100g;54;7.4;Yes;No;No;No;Yes
